Code,Title,Season,Episode,Rating,Episode Number,Number of Episodes,Prop Through Series,main_character_left
tt0043224,The Red Skelton Show,4.0,16.0,8.8,17.0,60,0.2833333333333333,0
tt0043224,The Red Skelton Show,4.0,18.0,8.7,18.0,60,0.3,0
tt0043224,The Red Skelton Show,4.0,19.0,7.8,19.0,60,0.31666666666666665,0
tt0043224,The Red Skelton Show,4.0,25.0,7.4,20.0,60,0.3333333333333333,0
tt0043224,The Red Skelton Show,5.0,6.0,8.2,21.0,60,0.35,0
tt0043224,The Red Skelton Show,5.0,11.0,8.3,22.0,60,0.36666666666666664,0
tt0043224,The Red Skelton Show,5.0,16.0,8.8,24.0,60,0.4,0
tt0043224,The Red Skelton Show,6.0,21.0,8.5,25.0,60,0.4166666666666667,0
tt0043224,The Red Skelton Show,7.0,11.0,8.4,26.0,60,0.43333333333333335,0
tt0043224,The Red Skelton Show,7.0,19.0,7.4,27.0,60,0.45,0
tt0043224,The Red Skelton Show,7.0,21.0,8.7,28.0,60,0.4666666666666667,0
tt0043224,The Red Skelton Show,7.0,28.0,7.0,29.0,60,0.48333333333333334,0
tt0043224,The Red Skelton Show,8.0,20.0,8.8,31.0,60,0.5166666666666667,0
tt0043224,The Red Skelton Show,9.0,1.0,7.4,32.0,60,0.5333333333333333,0
tt0043224,The Red Skelton Show,9.0,2.0,8.6,33.0,60,0.55,0
tt0043224,The Red Skelton Show,9.0,4.0,8.5,34.0,60,0.5666666666666667,0
tt0043224,The Red Skelton Show,9.0,14.0,6.6,35.0,60,0.5833333333333334,0
tt0043224,The Red Skelton Show,9.0,17.0,9.0,36.0,60,0.6,0
tt0043224,The Red Skelton Show,9.0,24.0,8.4,38.0,60,0.6333333333333333,0
tt0043224,The Red Skelton Show,10.0,1.0,8.6,39.0,60,0.65,0
tt0043224,The Red Skelton Show,10.0,18.0,8.8,40.0,60,0.6666666666666666,0
tt0043224,The Red Skelton Show,11.0,4.0,8.1,41.0,60,0.6833333333333333,0
tt0043224,The Red Skelton Show,11.0,6.0,7.9,42.0,60,0.7,0
tt0043224,The Red Skelton Show,11.0,13.0,8.0,43.0,60,0.7166666666666667,0
tt0043224,The Red Skelton Show,11.0,21.0,8.1,44.0,60,0.7333333333333333,0
tt0043224,The Red Skelton Show,12.0,1.0,9.3,46.0,60,0.7666666666666667,0
tt0043224,The Red Skelton Show,12.0,18.0,8.0,47.0,60,0.7833333333333333,0
tt0043224,The Red Skelton Show,13.0,1.0,9.0,48.0,60,0.8,0
tt0043224,The Red Skelton Show,14.0,13.0,8.2,49.0,60,0.8166666666666667,0
tt0043224,The Red Skelton Show,14.0,24.0,8.8,50.0,60,0.8333333333333334,0
tt0043224,The Red Skelton Show,15.0,24.0,6.6,51.0,60,0.85,0
tt0043224,The Red Skelton Show,18.0,1.0,7.8,53.0,60,0.8833333333333333,0
tt0043224,The Red Skelton Show,19.0,6.0,8.5,54.0,60,0.9,0
tt0043224,The Red Skelton Show,20.0,1.0,8.8,55.0,60,0.9166666666666666,0
tt0043224,The Red Skelton Show,20.0,4.0,8.6,56.0,60,0.9333333333333333,0
tt0043224,The Red Skelton Show,20.0,6.0,8.4,57.0,60,0.95,0
tt0043224,The Red Skelton Show,20.0,20.0,6.6,58.0,60,0.9666666666666667,0
tt0044229,The Abbott and Costello Show,1.0,2.0,8.3,2.0,52,0.038461538461538464,0
